NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14F,MPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,42,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,8,1,4,2021
1,1,1,4,2,1,2,1,2,1,1,Bogotá,2,21,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,8,1,4,2021
2,2,1,4,1,2,2,1,1,1,1,Bogotá,2,29,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,60,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,37,1,4,2021
1,2,1,4,2,1,2,2,2,2,1,Bogotá,1,7,1,4,2021
1,2,1,4,2,2,2,1,1,1,1,Bogotá,2,34,1,4,2021
1,2,1,4,2,2,2,1,1,1,1,Bogotá,2,11,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,75,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,48,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,86,1,4,2021
1,2,1,4,2,2,1,2,1,2,1,Bogotá,2,62,1,4,2021
2,2,1,4,2,2,2,1,1,1,1,Bogotá,1,20,1,4,2021
2,1,1,4,2,2,2,2,2,1,1,Bogotá,1,47,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,9,1,4,2021
2,2,1,4,1,2,2,2,1,2,1,Bogotá,2,16,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,23,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,64,1,4,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,1,83,1,2,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,20,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,67,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,30,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,40,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,67,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,7,1,4,2021
9,9,1,2,2,2,2,1,2,2,1,Bogotá,2,73,1,2,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,71,1,4,2021
2,2,1,2,2,2,2,1,1,2,1,Bogotá,2,44,1,2,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,85,1,4,2021
1,2,1,6,1,1,2,1,1,1,1,Bogotá,2,57,1,6,2021
1,2,1,6,1,1,2,1,1,1,1,Bogotá,1,22,1,6,2021
1,2,1,6,1,1,2,1,1,1,1,Bogotá,2,28,1,6,2021
1,2,1,6,1,1,2,1,1,1,1,Bogotá,1,9,1,6,2021
1,2,1,4,1,1,2,1,1,1,1,Bogotá,2,49,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,13,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,44,1,4,2021
1,9,1,4,2,2,2,1,2,2,1,Bogotá,2,39,1,4,2021
2,2,1,4,1,1,2,2,1,1,1,Bogotá,2,11,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,47,1,4,2021
1,2,1,4,2,1,2,2,2,1,1,Bogotá,1,36,1,4,2021
1,2,1,4,2,1,2,2,2,1,1,Bogotá,2,28,1,4,2021
1,2,1,4,2,1,2,2,2,1,1,Bogotá,1,7,1,4,2021
2,2,1,5,1,1,2,2,1,1,1,Bogotá,2,55,1,5,2021
1,2,1,4,1,1,2,2,1,1,1,Bogotá,2,47,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,6,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,18,1,4,2021
2,2,1,4,2,1,2,2,1,1,1,Bogotá,2,55,1,4,2021
2,2,1,4,1,2,2,2,2,1,1,Bogotá,2,55,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,58,1,4,2021
1,1,1,4,2,2,2,2,1,2,1,Bogotá,2,71,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,71,1,4,2021
1,2,1,6,2,2,2,2,2,2,1,Bogotá,2,51,1,6,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,1,5,1,4,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,7,1,4,2021
2,2,1,4,2,1,2,2,1,2,1,Bogotá,2,67,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,21,1,4,2021
1,1,6,7,2,2,2,2,2,1,1,Bogotá,2,48,6,7,2021
2,2,1,6,1,1,2,2,2,2,1,Bogotá,2,25,1,6,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,1,76,1,4,2021
1,1,1,4,2,1,1,2,2,2,1,Bogotá,1,72,1,4,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,51,1,4,2021
2,2,1,6,2,2,2,2,2,2,1,Bogotá,2,59,1,6,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,11,1,4,2021
1,1,1,6,1,2,2,2,2,2,1,Bogotá,2,82,1,6,2021
9,9,1,4,2,2,2,2,2,1,1,Bogotá,1,80,1,4,2021
2,2,1,4,1,1,2,1,1,1,1,Bogotá,2,8,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,80,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,47,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,81,1,4,2021
2,2,4,6,2,1,2,2,2,2,1,Bogotá,2,40,4,6,2021
2,2,4,6,2,1,2,2,2,2,1,Bogotá,1,35,4,6,2021
2,2,4,6,2,1,2,2,2,2,1,Bogotá,1,21,4,6,2021
1,2,4,4,2,1,2,2,2,1,1,Bogotá,1,41,4,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,88,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,72,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,65,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,69,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,98,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,9,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,55,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,54,1,4,2021
