DIRECTORIO_HOG,municipio
1087341,Bogotá
1087361,Bogotá
1087511,Bogotá
1087671,Bogotá
1088081,Bogotá
1088981,Bogotá
1088981,Bogotá
1088981,Bogotá
1088981,Bogotá
1089511,Bogotá
1089621,Bogotá
1089801,Bogotá
1089831,Bogotá
1090011,Bogotá
1090831,Bogotá
1091261,Bogotá
1091321,Bogotá
1091441,Bogotá
1092451,Bogotá
1092591,Bogotá
1092741,Bogotá
1093061,Bogotá
1093741,Bogotá
1093981,Bogotá
1094311,Bogotá
1094411,Bogotá
1094491,Bogotá
1094501,Bogotá
1094551,Bogotá
1094551,Bogotá
1094621,Bogotá
1101251,Bogotá
1101311,Bogotá
1101331,Bogotá
1101451,Bogotá
1101531,Bogotá
1101551,Bogotá
1101671,Bogotá
1101691,Bogotá
1101911,Bogotá
1101961,Bogotá
1101961,Bogotá
1101971,Bogotá
1102071,Bogotá
1102451,Bogotá
1102451,Bogotá
1102541,Bogotá
1102551,Bogotá
1102591,Bogotá
1102721,Bogotá
1102721,Bogotá
1103141,Bogotá
1103431,Bogotá
1104441,Bogotá
1104491,Bogotá
1105091,Bogotá
1105291,Bogotá
1105291,Bogotá
1105551,Bogotá
1105781,Bogotá
1105911,Bogotá
1106201,Bogotá
1106241,Bogotá
1106311,Bogotá
1106391,Bogotá
1107301,Bogotá
1107521,Bogotá
1108271,Bogotá
1108391,Bogotá
1108501,Bogotá
1109411,Bogotá
1109871,Bogotá
1110001,Bogotá
1110021,Bogotá
1110071,Bogotá
1110891,Bogotá
1111001,Bogotá
1111051,Bogotá
1111061,Bogotá
1111151,Bogotá
1111411,Bogotá
1111761,Bogotá
1111901,Bogotá
1112141,Bogotá
1112601,Bogotá
1112601,Bogotá
1112791,Bogotá
1112831,Bogotá
1112831,Bogotá
1112831,Bogotá
1112841,Bogotá
1113291,Bogotá
1113291,Bogotá
1113371,Bogotá
1113391,Bogotá
1113641,Bogotá
1113701,Bogotá
1113731,Bogotá
1113741,Bogotá
1113761,Bogotá
1113821,Bogotá
1113931,Bogotá
1114091,Bogotá
1114171,Bogotá
1114521,Bogotá
1114641,Bogotá
1114871,Bogotá
1114981,Bogotá
1115151,Gachancipá
1115251,Gachancipá
1115311,Gachancipá
1115661,Gachancipá
1115751,Gachancipá
1116091,Bogotá
1116241,Bogotá
1116241,Bogotá
1116331,Bogotá
1116351,Bogotá
1116521,Bogotá
1116611,Bogotá
1116831,Bogotá
1116871,Bogotá
1116941,Bogotá
1117301,Bogotá
1117381,Bogotá
1117461,Bogotá
1117561,Bogotá
1117611,Bogotá
1117701,Bogotá
1117701,Bogotá
1118681,Bogotá
1118791,Bogotá
1118901,Bogotá
1118921,Bogotá
1119001,Bogotá
1119071,Bogotá
1119261,Bogotá
1120151,Bogotá
1120691,Bogotá
1120751,Bogotá
1120841,Bogotá
1120881,Bogotá
1120901,Bogotá
1121012,Bogotá
1121081,Bogotá
1121281,Bogotá
1121411,Bogotá
1121421,Bogotá
1121532,Bogotá
1121532,Bogotá
1121781,Bogotá
1122711,Bogotá
1122841,Bogotá
1122901,Bogotá
1123321,Bogotá
1123481,Bogotá
1123771,Bogotá
1123781,Bogotá
1124541,Bogotá
1124541,Bogotá
1125461,Bogotá
1125551,Bogotá
1125651,Bogotá
1125861,Bogotá
1125901,Bogotá
1125951,Bogotá
1126021,Bogotá
1126041,Bogotá
1126421,Bogotá
1126711,Bogotá
1126801,Bogotá
1126901,Bogotá
1127071,Bogotá
1127431,Bogotá
1127541,Bogotá
1127751,Bogotá
1215541,Bogotá
1215731,Bogotá
1215801,Bogotá
1215971,Bogotá
1216111,Bogotá
1216231,Bogotá
1216251,Bogotá
1216371,Bogotá
1216551,Bogotá
1216671,Bogotá
1216941,Bogotá
1217211,Bogotá
1217601,Bogotá
1217941,Bogotá
1218381,Bogotá
1218641,Bogotá
1218881,Bogotá
1218881,Bogotá
1219001,Bogotá
1219541,Sopo
1219551,Sopo
1220201,Sopo
1220201,Sopo
1220592,Sopo
1220592,Sopo
1220931,Bogotá
1221141,Bogotá
1221451,Bogotá
1221621,Bogotá
1221791,Bogotá
1221801,Bogotá
1222471,Bogotá
1222501,Bogotá
1222671,Bogotá
1222711,Bogotá
1222971,Bogotá
1222981,Bogotá
1222991,Bogotá
1222991,Bogotá
1223011,Bogotá
1223821,Bogotá
1224991,Bogotá
1225331,Bogotá
1225341,Bogotá
1226001,Bogotá
1226111,Bogotá
1226431,Funza
1236621,Bogotá
1236741,Bogotá
1236781,Bogotá
1237191,Bogotá
1237191,Bogotá
1237391,Bogotá
1237431,Bogotá
1237491,Bogotá
1237561,Bogotá
1237581,Bogotá
1237831,Bogotá
1237981,Bogotá
1238001,Bogotá
1238501,Bogotá
1238531,Bogotá
1238651,Bogotá
1238741,Bogotá
1238741,Bogotá
1238901,Bogotá
1239041,Bogotá
1239051,Bogotá
1239481,Bogotá
1239491,Bogotá
1239561,Bogotá
1239901,Bogotá
1239931,Bogotá
1239931,Bogotá
1240381,Bogotá
1240421,Bogotá
1240531,Bogotá
1240881,Bogotá
1241051,Bogotá
1241721,Bogotá
1242121,Bogotá
1242261,Bogotá
1242501,Bogotá
1242891,Bogotá
1242981,Bogotá
1243091,Bogotá
1243131,Bogotá
1243291,Bogotá
1243361,Bogotá
1243441,Bogotá
1244111,Bogotá
1244191,Bogotá
1244551,Bogotá
1244551,Bogotá
1244591,Bogotá
1245461,Bogotá
1245611,Bogotá
1245651,Bogotá
1245741,Bogotá
1245741,Bogotá
1245891,Bogotá
1246011,Bogotá
1246071,Bogotá
1246191,Bogotá
1246781,Bogotá
1246861,Bogotá
1246891,Bogotá
1247061,Bogotá
1247201,Bogotá
1247301,Bogotá
1247331,Bogotá
1247371,Bogotá
1247491,Bogotá
1247661,Bogotá
1247661,Bogotá
1248421,Bogotá
1248471,Bogotá
1248931,Bogotá
1249241,Bogotá
1249341,Bogotá
1249361,Bogotá
1249411,Bogotá
1249501,Bogotá
1249621,Bogotá
1249781,Bogotá
1250151,Bogotá
1250151,Bogotá
1250151,Bogotá
1250331,Bogotá
1251231,Bogotá
1251291,Bogotá
1251381,Bogotá
1251471,Bogotá
1251561,Bogotá
1251601,Bogotá
1251601,Bogotá
1251691,Bogotá
1251701,Bogotá
1251801,Bogotá
1251811,Bogotá
1251821,Bogotá
1252091,Bogotá
1252181,Bogotá
1252181,Bogotá
1252181,Bogotá
1252301,Bogotá
1252301,Bogotá
1252371,Bogotá
1252581,Bogotá
1252801,Bogotá
1252811,Bogotá
1253081,Bogotá
1253081,Bogotá
1253341,Bogotá
1253461,Bogotá
1253711,Bogotá
1253781,Bogotá
1254471,Bogotá
1254591,Bogotá
1254761,Bogotá
1254761,Bogotá
1254771,Bogotá
1254801,Bogotá
1254801,Bogotá
1255021,Bogotá
1255021,Bogotá
1255121,Bogotá
1255251,Bogotá
1255261,Bogotá
1255391,Bogotá
1255581,Bogotá
1262911,Girardot
1263121,Girardot
1263151,Girardot
1263211,Girardot
1263421,Girardot
1263571,Girardot
1263671,Girardot
1263681,Girardot
1263971,Girardot
1265731,Girardot
1266011,Guaduas
1266131,Guaduas
1266391,Guaduas
1266461,Guaduas
1266741,Guaduas
1266741,Guaduas
1267041,Guaduas
1267381,Guaduas
1267441,Guaduas
1267881,Sopo
1268041,Sopo
1268041,Sopo
1270261,Bogotá
1270641,Bogotá
1270911,Bogotá
1270911,Bogotá
1271081,Bogotá
1271241,Bogotá
1271281,Bogotá
1271321,Bogotá
1271561,Bogotá
1271721,Bogotá
1271851,Bogotá
1271951,Bogotá
1272041,Bogotá
1272151,Bogotá
1272181,Bogotá
1272251,Bogotá
1272251,Bogotá
1272401,Bogotá
1272761,Bogotá
1272771,Bogotá
1272801,Bogotá
1272911,Bogotá
1272941,Bogotá
1273841,Bogotá
1273971,Bogotá
1274291,Bogotá
1274301,Bogotá
1274571,Bogotá
1274581,Bogotá
1274711,Bogotá
1275101,Bogotá
1275191,Bogotá
1275251,Bogotá
1275261,Bogotá
1275701,Bogotá
1275901,Bogotá
1275961,Bogotá
1276031,Bogotá
1276331,Bogotá
1276742,Chía
1279151,Bogotá
1279151,Bogotá
1279341,Bogotá
1279381,Bogotá
1279401,Bogotá
1279781,Bogotá
1280551,Bogotá
1280561,Bogotá
1280661,Bogotá
1281691,Bogotá
1281901,Bogotá
1281921,Bogotá
1284461,Bogotá
1284461,Bogotá
1284671,Bogotá
1284671,Bogotá
1284811,Bogotá
1285691,Bogotá
1285891,Bogotá
1285911,Bogotá
1285921,Bogotá
1285961,Bogotá
1286331,Bogotá
1286671,Funza
1286811,Funza
1286871,Funza
1286991,Funza
1287301,Funza
1287441,Funza
1288251,Sopo
1288271,Sopo
1288321,Sopo
1288821,Bogotá
1291061,Bogotá
1291381,Bogotá
1291711,Bogotá
1292131,Bogotá
1292161,Bogotá
1292221,Bogotá
1292221,Bogotá
1292251,Bogotá
1292721,Bogotá
1292811,Bogotá
1292821,Bogotá
1292861,Bogotá
1292861,Bogotá
1293501,Bogotá
1293561,Bogotá
1293601,Bogotá
1293791,Bogotá
1293801,Bogotá
1294461,Bogotá
1294681,Bogotá
1295031,Bogotá
1295601,Bogotá
1295961,Bogotá
1296131,Bogotá
1296461,Bogotá
1296641,Bogotá
1296911,Bogotá
1297111,Bogotá
1297441,Bogotá
1297541,Bogotá
1297541,Bogotá
1297551,Bogotá
1298351,Bogotá
1298861,Bogotá
1298861,Bogotá
1298861,Bogotá
1298932,Bogotá
1298941,Bogotá
1299091,Bogotá
1299111,Bogotá
1299131,Bogotá
1299831,Bogotá
1300311,Bogotá
1300681,Bogotá
1300781,Bogotá
1300792,Bogotá
1300841,Bogotá
1300841,Bogotá
1300861,Bogotá
1301481,Girardot
1302171,Gachancipá
1302221,Gachancipá
1302221,Gachancipá
1302281,Gachancipá
1302461,Gachancipá
1302591,Gachancipá
1302611,Gachancipá
1302791,Gachancipá
1303031,Gachancipá
1303101,Gachancipá
1303291,Gachancipá
1303371,Gachancipá
1303701,Guaduas
1304061,Guaduas
1304391,Sopo
1304431,Sopo
1304441,Sopo
1304461,Sopo
1304531,Sopo
1304531,Sopo
1304631,Sopo
1304751,Sopo
1304821,Sopo
1304871,Sopo
1305431,Villeta
1305431,Villeta
1305431,Villeta
1305911,Villeta
1306331,Villeta
1306791,Villeta
1307071,Zipaquirá
1307131,Zipaquirá
1307311,Bogotá
1307351,Bogotá
1307971,Bogotá
1308051,Bogotá
1308051,Bogotá
1308701,Soacha
1309821,Tenjo
1310131,Tenjo
1310301,Bogotá
1311091,Caqueza
1311391,Pacho
1311701,Pacho
1311961,Pacho
1311991,Pacho
1312721,Villa de san diego de ubate
1312771,Villa de san diego de ubate
1312811,Villa de san diego de ubate
1313371,Villa de san diego de ubate
1313421,Bojacá
1332951,Bogotá
1333121,Bogotá
1333481,Girardot
1333511,Girardot
1333521,Girardot
1333621,Gachancipá
1333721,Gachancipá
1333741,Gachancipá
1333881,Gachancipá
1333881,Gachancipá
1333881,Gachancipá
1333881,Gachancipá
1333881,Gachancipá
1334631,Sopo
1334751,Subachoque
1334781,Subachoque
1334871,Subachoque
1334901,Subachoque
1334931,Subachoque
1335071,Subachoque
1335551,Mosquera
1335591,Mosquera
1335681,Mosquera
1335691,Mosquera
1335691,Mosquera
1335991,Mosquera
1336131,Mosquera
1336321,Mosquera
1336321,Mosquera
1336361,Medellín
1336371,Medellín
1336891,Caqueza
1336931,Caqueza
1337051,Caqueza
1337241,Caqueza
1337242,Caqueza
1337291,Bogotá
1337321,Bogotá
1337371,Bogotá
1337371,Bogotá
1337371,Bogotá
1337441,Bogotá
1337731,Bogotá
1337761,Bogotá
1337911,Bogotá
1338011,Bogotá
1338101,Bogotá
1338251,Bogotá
1338391,Bogotá
1338401,Bogotá
1338461,Bogotá
1338531,Bogotá
1338571,Bogotá
1338571,Bogotá
1338591,Bogotá
1338791,Bogotá
1338831,Bogotá
1338861,Bogotá
1339281,Bogotá
1339351,Bogotá
1339771,Bogotá
1340261,Bogotá
1340441,Bogotá
1340721,Bogotá
1340751,Bogotá
1340771,Bogotá
1340891,Bogotá
1340921,Bogotá
1341251,Bogotá
1341331,Bogotá
1341491,Bogotá
1341601,Bogotá
1342071,Bogotá
1342071,Bogotá
1342331,Bogotá
1342541,Bogotá
1343021,Bogotá
1343111,Bogotá
1344051,Caqueza
1344071,Caqueza
1344091,Caqueza
1344771,Bogotá
1344991,Bogotá
1345251,Bogotá
1345411,Bogotá
1345421,Bogotá
1345631,Bogotá
1346081,Bogotá
1346441,Bogotá
1346461,Bogotá
1346531,Bogotá
1346531,Bogotá
1346531,Bogotá
1346801,Bogotá
1347061,Bogotá
1347121,Bogotá
1347201,Bogotá
1347201,Bogotá
1347801,Facatativa
1347911,Facatativa
1348221,Facatativa
1348521,Funza
1348531,Funza
1348561,Funza
1348571,Funza
1348691,Funza
1348831,Funza
1349011,Funza
1349151,Funza
1349181,Funza
1349381,Funza
1349451,Funza
1349771,La mesa
1349851,La mesa
1350101,La mesa
1350351,La mesa
1350571,La mesa
1350611,La mesa
1350701,La mesa
1351391,Choconta
1351431,Choconta
1351581,Choconta
1351831,Sibaté
1352001,Sibaté
1352281,Sibaté
1352351,Sibaté
1352351,Sibaté
1352451,Sibaté
1352761,Sibaté
1352901,Subachoque
1352941,Subachoque
1353071,Tabio
1353081,Tabio
1353371,Medina
1353401,Medina
1353421,Medina
1353521,Medina
1353551,Medina
1353761,Medina
1353871,Medina
1354081,Medina
1354281,Medina
1354331,Medina
1354341,Medina
1354381,Medina
1354711,Sutatausa
1355011,Sutatausa
1355141,Villa de san diego de ubate
1356391,Bogotá
1356471,Bogotá
1356501,Bogotá
1356541,Bogotá
1356671,Bogotá
1356781,Bogotá
1357151,Bogotá
1357161,Bogotá
1357181,Bogotá
1357591,Bogotá
1357802,Bogotá
1357951,Bogotá
1358631,Bogotá
1358631,Bogotá
1358751,Bogotá
1358861,Bogotá
1358881,Bogotá
1359991,Bogotá
1360211,Bogotá
1360411,Bogotá
1360661,Bogotá
1360951,Bogotá
1361031,Bogotá
1361091,Bogotá
1361091,Bogotá
1361751,Bogotá
1361981,Bogotá
1362361,Bogotá
1362421,Bogotá
1362431,Bogotá
1362531,Bogotá
1362791,Bogotá
1362901,Bogotá
1363191,Bogotá
1363191,Bogotá
1363231,Bogotá
1363761,Bogotá
1363841,Bogotá
1363911,Bogotá
1363921,Bogotá
1364111,Bogotá
1364251,Bogotá
1365001,Bogotá
1365421,Bogotá
1366031,Bogotá
1366371,Bogotá
1366661,Bogotá
1366821,Bogotá
1366871,Bogotá
1367131,Bogotá
1367771,Bogotá
1367801,Bogotá
1367861,Bogotá
1367921,Bogotá
1367971,Bogotá
1367971,Bogotá
1368231,Bogotá
1368711,Funza
1369011,Funza
1369031,Funza
1369091,Funza
1369271,Funza
1369441,Funza
1370071,Girardot
1370071,Girardot
1370311,Girardot
1370891,Girardot
1370891,Girardot
1371221,Tabio
1371661,San Juan de rio seco
1371801,San Juan de rio seco
1371861,Medellín
1371931,Medellín
1371991,Medellín
1372121,Caqueza
1372161,Caqueza
1372251,Caqueza
1372271,Caqueza
1373461,Bogotá
1373631,Bogotá
1374011,Bogotá
1374531,Bogotá
1374721,Bogotá
1374861,Bogotá
1375201,Bogotá
1375971,Bogotá
1375981,Bogotá
1376071,Bogotá
1376141,Bogotá
1376581,Bogotá
1376581,Bogotá
1376601,Bogotá
1377081,Sesquile
1377761,Tausa
1378501,Funza
1378581,Funza
1378791,Funza
1378891,Funza
1378961,Funza
1379291,Gachancipá
1380011,Subachoque
1380031,Subachoque
1380461,San Juan de rio seco
1380471,San Juan de rio seco
1380521,San Juan de rio seco
1380701,San Juan de rio seco
1380891,Medellín
1380911,Medellín
1381071,Tocancipá
1381071,Tocancipá
1381141,Tocancipá
1381191,Tocancipá
1381521,Tocancipá
1381671,Tocancipá
1381671,Tocancipá
1381801,Pacho
1381851,Pacho
1381861,Pacho
1381891,Pacho
1381951,Pacho
1382181,Pacho
1382221,Fusagasugá
1382231,Fusagasugá
1382241,Fusagasugá
1382331,Fusagasugá
1382431,Fusagasugá
1382511,Fusagasugá
1382511,Fusagasugá
1382581,Fusagasugá
1383311,Bogotá
1383411,Bogotá
1383521,Bogotá
1384271,Bogotá
1384271,Bogotá
1384581,Bogotá
1384701,Bogotá
1384701,Bogotá
1384841,Bogotá
1384881,Bogotá
1385161,Bogotá
1385431,Bogotá
1385491,Bogotá
1385881,Bogotá
1385981,Bogotá
1386131,Bogotá
1386261,Bogotá
1386421,Bogotá
1386431,Bogotá
1386511,Bogotá
1386541,Bogotá
1386691,Bogotá
1386931,Bogotá
1386991,Bogotá
1387461,Bogotá
1387562,Bogotá
1387621,Bogotá
1388231,Bogotá
1388232,Bogotá
1388232,Bogotá
1388241,Bogotá
1388261,Bogotá
1388311,Bogotá
1388331,Bogotá
1388981,Bogotá
1389101,Bogotá
1389471,Bogotá
1390131,Bogotá
1390171,Bogotá
1390181,Bogotá
1390221,Bogotá
1390461,Bogotá
1390521,Bogotá
1390561,Bogotá
1390971,Bogotá
1391111,Bogotá
1391441,Bogotá
1391661,Bogotá
1392101,Bogotá
1392111,Bogotá
1392131,Bogotá
1392361,Bogotá
1392401,Bogotá
1392951,Bogotá
1393321,Bogotá
1393811,Bogotá
1393881,Bogotá
1394151,Bogotá
1394221,Bogotá
1394261,Bogotá
1394291,Bogotá
1394331,Bogotá
1394571,Bogotá
1394571,Bogotá
1394813,Bogotá
1394901,Bogotá
1394931,Bogotá
1394981,Bogotá
1395071,Bogotá
1395541,Bogotá
1395791,Bogotá
1396071,Bogotá
1396121,Bogotá
1396641,Bogotá
1396651,Bogotá
1396761,Bogotá
1396761,Bogotá
1396791,Bogotá
1396791,Bogotá
1396791,Bogotá
1396921,Bogotá
1397381,Bogotá
1397441,Bogotá
1398281,Sesquile
1398301,Sesquile
1398321,Sesquile
1398331,Sesquile
1398331,Sesquile
1398641,Sesquile
1398671,Sesquile
1399871,San Juan de rio seco
1399971,San Juan de rio seco
1400531,Guatavita
1400531,Guatavita
1401401,Caqueza
1401651,Villa de san diego de ubate
1401731,Villa de san diego de ubate
1401791,Villa de san diego de ubate
1401801,Villa de san diego de ubate
1401811,Villa de san diego de ubate
1401841,Villa de san diego de ubate
1402001,Villa de san diego de ubate
1402201,Villa de san diego de ubate
1402411,Villeta
1402511,Villeta
1402571,Villeta
1402641,Villeta
1402711,Villeta
1402751,Villeta
1402801,Villeta
1402801,Villeta
1402811,Villeta
1403231,Zipaquirá
1403421,Bogotá
1403461,Bogotá
1406401,Bogotá
1406421,Bogotá
1406481,Bogotá
1406831,Bogotá
1407081,Bogotá
1407231,Bogotá
1407381,Bogotá
1407641,Bogotá
1407971,Bogotá
1408621,Bogotá
1408951,Bogotá
1409111,Bogotá
1409111,Bogotá
1409191,Bogotá
1409521,Bogotá
1409561,Bogotá
1409971,Bogotá
1410101,Bogotá
1410181,Bogotá
1410211,Bogotá
1410341,Bogotá
1410681,Bogotá
1410901,Bogotá
1410921,Bogotá
1411061,Bogotá
1411621,Bogotá
1411801,Bogotá
1411941,Bogotá
1412111,Bogotá
1412401,Bogotá
1412401,Bogotá
1412741,Bogotá
1413101,Bogotá
1413111,Bogotá
1413221,Bogotá
1413321,Bogotá
1413321,Bogotá
1413371,Bogotá
1413621,Bogotá
1413761,Bogotá
1413781,Bogotá
1413851,Bogotá
1413861,Bogotá
1413861,Bogotá
1413911,Bogotá
1413991,Bogotá
1414161,Bogotá
1414201,Bogotá
1414591,Bogotá
1415041,Bogotá
1415061,Bogotá
1415281,Funza
1415391,Funza
1415831,Sesquile
1415871,Sesquile
1415931,Sesquile
1416271,Guaduas
1416271,Guaduas
1416341,Guaduas
1416661,Cota
1416671,Cota
1416921,Gacheta
1417131,Gacheta
1417181,Gacheta
1417341,Gacheta
1417492,Gacheta
1417691,Gacheta
1417941,Gacheta
1417941,Gacheta
1418231,Gacheta
1418301,Gacheta
1418341,Gacheta
1418341,Gacheta
1418591,Tabio
1418631,Tabio
1418951,Medina
1419061,Medina
1419131,Medina
1419181,Medina
1419181,Medina
1419211,Medina
1419411,Medina
1419471,Medina
1419651,Medina
1419761,Medina
1419891,Medina
1419901,Medina
1419921,Medina
1420031,Medina
1420211,Medina
1420441,Medina
1420741,Medina
1420761,Medina
1421041,San Juan de rio seco
1421101,San Juan de rio seco
1421311,San Juan de rio seco
1421451,San Juan de rio seco
1421701,San Juan de rio seco
1421951,Fusagasugá
1422161,Fusagasugá
1422741,Bogotá
1422751,Bogotá
1423171,Bogotá
1423271,Bogotá
1423281,Bogotá
1423331,Bogotá
1423331,Bogotá
1423401,Bogotá
1423501,Bogotá
1423671,Bogotá
1423731,Bogotá
1424721,Bogotá
1424871,Bogotá
1425211,Bogotá
1425211,Bogotá
1425211,Bogotá
1425231,Bogotá
1425551,Bogotá
1425661,Bogotá
1425661,Bogotá
1425761,Bogotá
1426111,Bogotá
1427461,Bogotá
1427621,Bogotá
1427891,Bogotá
1427911,Bogotá
1427911,Bogotá
1427921,Bogotá
1427941,Bogotá
1428291,Bogotá
1428871,Bogotá
1429061,Bogotá
1429151,Bogotá
1429741,Bogotá
1429981,Bogotá
1430051,Bogotá
1430201,Bogotá
1430311,Bogotá
1430701,Bogotá
1430861,Bogotá
1431261,Bogotá
1431311,Bogotá
1431441,Bogotá
1431551,Bogotá
1431611,Bogotá
1431711,Bogotá
